# Program:featureCounts v1.5.2; Command:"/data/biohub/local/subread-1.5.2-Linux-x86_64/bin/featureCounts" "-Q" "10" "-s" "2" "-T" "16" "-p" "-a" "/data/biohub/Refs/zebrafish/Danio_rerio.GRCz10.88.gtf" "-o" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/featureCounts/rRNA_genes.out" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/9_Ps2Ex3M1_WT_6month_07_07_2016_F3_79_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/12_Ps2Ex3M1_WT_6month_07_07_2016_F3_95_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/5_Ps2Ex3M1_Hom_6month_07_07_2016_F3_78_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/11_Ps2Ex3M1_WT_6month_07_07_2016_F3_88_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/10_Ps2Ex3M1_WT_6month_07_07_2016_F3_86_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/2_Ps2Ex3M1_Heter_6month_07_07_2016_F3_81_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/7_Ps2Ex3M1_Hom_6month_07_07_2016_F3_83_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/1_Ps2Ex3M1_Heter_6month_07_07_2016_F3_80_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/8_Ps2Ex3M1_Hom_6month_07_07_2016_F3_85_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/3_Ps2Ex3M1_Heter_6month_07_07_2016_F3_84_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/4_Ps2Ex3M1_Heter_6month_07_07_2016_F3_89_Fem_hisat2_sorted.bam" "/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/6_Ps2Ex3M1_Hom_6month_07_07_2016_F3_82_Fem_hisat2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/9_Ps2Ex3M1_WT_6month_07_07_2016_F3_79_Fem_hisat2_sorted.bam	/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/12_Ps2Ex3M1_WT_6month_07_07_2016_F3_95_Fem_hisat2_sorted.bam	/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/5_Ps2Ex3M1_Hom_6month_07_07_2016_F3_78_Fem_hisat2_sorted.bam	/data/biohub/170327MichaelLardelli_Nextseq/3_alignedData/bams/11_Ps2Ex3M1_WT_6month_07_07_2016_F3_88_Fem_hisat2_sorted.bam
ENSDARG00000101771	4	178187	178262	-	76	0	0	1	0
ENSDARG00000104839	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	196253;196261;197722;198046;198229;199138;199141;199141;199141;199141;199531;199531;199531;199531;199531;199880;199928;200013;200013;202622	198399;196815;198399;198399;198399;199278;199278;199278;199278;199278;199794;199794;199794;199794;199794;200051;200026;200256;200252;202858	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3166	1506	1000	827	857
ENSDARG00000104373	4;4;4	203199;204332;205008	204157;204456;205503	-;-;-	1580	79	64	54	67
ENSDARG00000098311	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	207365;207365;207369;207811;207811;208140;208140;208140;208402;208402;208410;208592;208592;208592;209109;209595;209595;209595;209864;209982;209982;209982;210696;210880;210880;211025;211055	207405;207405;207405;208013;208013;208235;208255;208235;208497;208497;208497;208702;208693;208702;209117;209724;209726;209724;209879;210334;210599;210792;210789;210911;210911;212746;212313	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3289	191	193	135	228
ENSDARG00000102121	4;4;4;4;4;4;4;4	216043;217150;217336;217627;219370;220202;220493;220724	216176;217230;217384;217684;219461;220342;220631;223018	+;+;+;+;+;+;+;+	2989	254	325	187	255
ENSDARG00000102123	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	223156;223161;223514;223805;223812;223817;223818;224122;224122;224122;224207;224454;224454;224454;224454;224642;224642;224642;224642;224897;224897;224897;224897;225061;225061;225061;225307;225307;225307;225640;225640;225640;227095;227095;227095;227797;227797;227797;227806;228144;228144;228144;228144;228144;228179;228215;228867;228867;228867;228867;228867;228867;230901;230901;230901;230901;230901;231405;231405;231405;231405;231660;231660;231660;231660;231660;236553;236553;236553;236919;236919;236919;236919;236919;238110;238110;238110;238110;238110;239214;239214;239214;240684;240684;240684	224037;223800;224037;223807;223814;223830;224037;224247;224247;224247;224247;224549;224549;224549;224549;224797;224797;224797;224797;225060;224983;224983;224983;225192;225192;225192;225567;225567;225567;225768;225768;225768;227319;227319;227319;227955;227955;227955;227955;228327;228324;228324;228324;228327;228324;228327;229043;229020;229028;229028;229028;229028;231334;231069;231069;231069;231069;231563;231563;231563;231563;231729;231729;231729;231729;231729;236564;236564;236564;236975;236975;236975;236975;236975;238189;238189;238189;238178;238189;239284;239286;239286;240933;240969;241528	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4421	961	985	961	1087
ENSDARG00000102141	4;4;4;4	251201;251367;251641;251865	251279;251465;251732;252106	+;+;+;+	512	135	118	62	92
ENSDARG00000105725	4;4;4	258369;262063;264509	258542;262116;264546	-;-;-	266	23	26	67	44
ENSDARG00000099787	4;4	272976;273859	273097;274054	-;-	318	21	38	26	23
ENSDARG00000070546	4	292588	294558	+	1971	1	1	0	2
ENSDARG00000045914	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	295240;295249;295254;295259;296465;296465;296465;296486;299569;299569;299569;299569;300359;300359;300359;300469;301122;301122;301122;301122;303297;303297;303297	295364;295364;295364;295364;296559;296559;296559;296559;299724;299724;299724;299724;300493;300493;300493;300493;301241;301241;301485;301241;304523;303388;303634	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2102	1043	1106	1098	1234
ENSDARG00000045913	4;4;4;4;4;4;4;4;4;4	311580;311961;315644;316052;316267;316323;317047;317047;317196;317196	311811;312050;315752;316191;316309;316767;317081;317081;317265;317300	-;-;-;-;-;-;-;-;-;-	1199	97	124	113	135
ENSDARG00000045911	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	317903;318822;319261;329821;329821;330700;330700;331086;331086;331424;331424;334085;334085;334715;334715;335659;335659;335981;335981;336396;336396;336661;336661;336846;336846;337550;340161;340161	318072;319512;319512;329949;329949;330861;330861;331266;331266;331531;331531;334242;334242;334939;334939;335893;335893;336125;336125;336567;336567;336754;336754;337258;340078;340078;340476;340476	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6019	991	1018	872	1072
ENSDARG00000102361	4	337396	337493	+	98	0	0	0	0
ENSDARG00000045910	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	344362;344362;344377;346508;346522;348774;348774;348774;348774;348774;350801;350801;350801;350801;351957;351957;351957;351957;353965;353965;353965;353965;354406;354406;354406;354406;354751;354751;354751;356574;356574;356574;358024;358024;358024;359114;359114;359114;360957;360957;360957;361492;361492;361492;362906;362906;362906;363255;363255;363255;367736;367736;367744;368150;368150;368150;371556;371556;371556	344646;344646;344646;346622;346622;348877;348877;348877;349357;348877;350862;350862;350862;350862;352044;352044;352044;352044;354089;354089;354089;354089;354534;354537;354537;354537;354831;354831;354831;356673;356673;356673;358154;358154;358154;359205;359205;359205;361014;361014;361014;361594;361594;361594;362957;362957;362957;363337;363337;363357;367825;367825;367825;368216;368216;368216;371658;372348;372720	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3433	350	355	441	531
ENSDARG00000045909	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	372987;373695;373695;375692;375692;375692;375844;375844;375844;376231;376805;376805;376809;376957;376957;376957	373765;373765;373765;375769;375769;375769;375967;375967;375960;376232;376850;376850;376850;376983;376994;376983	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1067	589	207	249	285
ENSDARG00000025073	4;4;4;4;4;4;4;4;4;4	377849;377928;379794;379794;380537;380537;384062;384062;384331;384331	377961;377961;379973;380048;380666;380666;384171;384171;384476;385003	+;+;+;+;+;+;+;+;+;+	1281	758	836	1052	1098
ENSDARG00000084828	4	380318	380454	+	137	10	10	20	14
ENSDARG00000084784	4	383213	383349	+	137	0	1	2	1
ENSDARG00000095951	4;4;4;4	386928;387079;387825;388047	387004;387424;387916;388402	+;+;+;+	871	3	1	5	3
ENSDARG00000093924	4;4;4;4	389178;403234;447236;486466	389264;403395;447483;486498	+;+;+;+	530	31	64	1	39
ENSDARG00000084451	4	540819	540936	+	118	0	1	0	0
ENSDARG00000031737	4;4;4;4	598915;600138;610963;612701	599123;600261;611469;613102	+;+;+;+	1242	56	94	14	31
ENSDARG00000099652	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	632706;634300;636397;636598;642601;643057;643710;645753;647088;647896;648042;649964;650944;651735;651928;653715;653878;654552;655221;655804;657953;658142;658353;660040;661358	632786;634450;636479;636654;642670;643275;643894;645921;647324;647934;648104;650088;651088;651854;652022;653784;654116;654837;655410;655920;658068;658189;658421;660096;661979	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3653	515	609	628	664
ENSDARG00000101047	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	663262;665375;665575;665945;666785;667642;668045;669513;669514;669604;669764;669764;669937;669937;669937;671507;671507;671507;671745;671827;671827	663499;665494;665685;666133;666960;667801;668201;669863;669670;669670;669863;669863;670004;670004;670004;671585;671585;671585;671971;671985;671964	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1890	180	206	215	258
ENSDARG00000102104	4;4	668053;669527	668197;670017	+;+	636	0	2	1	3
ENSDARG00000099833	4;4;4;4;4;4;4;4;4;4	672709;672963;673485;680749;681169;681698;681918;682126;684876;686732	672735;673090;673665;681066;681313;681781;682013;682302;684922;687249	+;+;+;+;+;+;+;+;+;+	1721	52	98	83	92
ENSDARG00000103870	4;4;4;4;4;4	688164;692316;696631;697084;707051;720842	688692;692443;696911;697191;707124;720899	-;-;-;-;-;-	1178	8	10	15	7
ENSDARG00000096118	4;4;4	722947;723579;723961	723048;723695;724072	+;+;+	331	143	174	117	140
ENSDARG00000045900	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	724091;726928;727415;729935;730081;733753;734236;736263;737064;737791;737842;739424;739424;740182;741259;741995;743946;747075	724487;727006;727554;729984;730208;733950;734396;736595;737233;738280;738280;739625;739602;740359;741428;742166;744167;747112	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3128	685	785	537	656
ENSDARG00000016968	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	750652;750948;751596;751596;753064;753064;755595;755715;755715;756074;756074;756074;756269;756269;757904;758212;758807;758807;759090;759371;760594;760994;762251;762960;764498;765849	751109;751109;751747;751747;753232;753232;755929;755929;755929;756181;756183;756181;756372;756317;758303;758303;758944;758948;759191;759452;760699;761076;762385;763110;764685;766348	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3217	627	566	656	660
ENSDARG00000102878	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	770196;771890;773202;773202;773546;773546;773618;774293;774293;774293;775414;775414;775414;776077;776077;776077;779055;784348;784348	771955;771955;773354;773354;773691;773691;773691;774449;774449;774449;775559;775559;775559;776204;776197;776204;779120;784383;784410	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2619	1870	2013	1539	1906
ENSDARG00000059311	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	785248;789427;790219;790692;790699;792841;792841;794430;794430;794693;794961;794961;795098;795960;797151;799673;802390	787100;789604;790426;790834;790834;792982;792982;794768;794586;794768;795005;795005;795166;796139;797309;799937;802423	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3615	1604	1888	2071	1821
ENSDARG00000017386	4;4;4;4;4;4;4;4;4;4;4;4;4	805480;809877;809950;813493;813493;815830;815830;818085;818085;818978;818978;824240;824240	806167;811287;811287;813600;813600;815981;815981;818291;818291;819104;819104;824452;824371	-;-;-;-;-;-;-;-;-;-;-;-;-	2906	218	216	168	151
ENSDARG00000045898	4;4	828562;830847	828673;831585	+;+	851	44	8	58	4
ENSDARG00000006060	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	847996;848248;850859;850859;851186;851186;852712;852712;853896;853896;854136;854136;854855;854855;855053;855053;855233;855233;857306;857306;858812;858812;860245;860245;860469;860469;860765;860765;861885;861885;865280;865280;865516;865516;865867;865867;866137;866137;866391;866391;875961;876253;885261	848688;848688;851021;851021;851344;851344;852835;852835;854035;854035;854268;854268;854967;854967;855082;855082;855359;855359;857451;857451;858938;858938;860387;860387;860504;860504;860891;860891;862024;862024;865427;865427;865634;865634;865905;865905;866277;866277;872556;866967;876162;876769;885445	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	9918	698	479	549	357
ENSDARG00000103050	4;4;4	892035;893987;895265	892425;894086;895373	-;-;-	600	35	27	52	33
ENSDARG00000104018	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	895549;1041260;1041282;1041403;1047025;1047025;1047025;1047751;1047751;1047751;1054305;1054305;1054305;1054582;1054582	895571;1042557;1042557;1042557;1047108;1047108;1047108;1047864;1047864;1047864;1054381;1054379;1054381;1054707;1054643	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1722	1298	1630	1426	1507
ENSDARG00000070535	4;4;4	899115;899475;900955	899274;899536;901290	+;+;+	558	3	4	3	2
ENSDARG00000013789	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	913510;916109;918277;918277;919707;919707;920951;920951;922693;922693;923775;923775;923781;924057;924057;924057;925439;925439;925439;925633;925633;925633;930651;930651;930651;935154;935154;935154	916482;916482;918502;918499;919845;919845;921098;921098;922799;922799;923974;923974;923974;924142;924142;924142;925547;925547;925547;925722;925722;925722;930746;930757;930757;935394;935328;935496	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4528	90	48	49	50
ENSDARG00000063686	4;4;4;4;4;4	945360;947476;948055;949977;950142;951609	945860;947559;948192;950058;950187;952031	-;-;-;-;-;-	1274	76	93	70	93
ENSDARG00000087962	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	952638;954495;956024;956301;957202;958287;959348;960973;961350;962281;962343;962486;962486;964112;965336;965340;965874;966051;966051;967698;967698;969408	952702;954685;956164;956411;957329;958408;959418;961104;961477;962402;962402;962961;962556;964198;965982;965470;965982;966148;966148;967728;967798;969736	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2949	447	520	328	435
ENSDARG00000099313	4;4;4;4;4;4;4;4;4	972512;973864;974089;974932;975184;975466;977217;977432;978569	973030;974004;974286;975093;975278;975677;977357;977595;978700	-;-;-;-;-;-;-;-;-	1764	64	87	71	89
ENSDARG00000103102	4;4;4	1000901;1002110;1005744	1001435;1002207;1006200	-;-;-	1090	12	22	4	9
ENSDARG00000102157	4;4;4;4	1089710;1091300;1121907;1133811	1089980;1091354;1122025;1134207	-;-;-;-	842	36	16	31	26
ENSDARG00000098612	4;4;4	1132898;1269601;1269620	1133027;1271224;1271224	+;+;+	1754	730	743	671	766
ENSDARG00000100898	4	1178079	1178196	+	118	0	3	0	1
ENSDARG00000102340	4;4;4;4;4	1287988;1303755;1308392;1310603;1346882	1289944;1303913;1308565;1310691;1347047	-;-;-;-;-	2545	2671	3531	3378	3595
ENSDARG00000099129	4	1466013	1467049	-	1037	108	123	170	152
ENSDARG00000101813	4;4;4;4;4;4;4;4;4;4;4;4;4;4;4	1469444;1476958;1477977;1478402;1478770;1479580;1480102;1480325;1482584;1484640;1486571;1488206;1490592;1493107;1496780	1471718;1477008;1478009;1478524;1478789;1479725;1480241;1480396;1482712;1484720;1486712;1488308;1490674;1493148;1496899	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3560	4945	5266	4429	5476
ENSDARG00000098551	4;4;4;4;4	1544820;1546880;1547910;1548439;1564166	1545992;1547353;1548062;1548651;1564628	-;-;-;-;-	2476	837	698	549	809
